"type","county","name","address","city","zip","zip4","phone","fax","url","grades"
"PUBLIC","Kanawha","Mary C. Snow West Side Elementary School","100 Florida Street ","Charleston","25302","","","","http://mcs.kana.k12.wv.us/","PK05"
"PUBLIC","Kanawha","Sharon Dawes Elementary School","P O Box 149 ","Miami","25134","","5953323","5953361","http://sd.kana.k12.wv.us/","PK05"
"NON-PUBLIC","Kanawha","Saint Anthony School","1027 Sixth Street West ","Charleston","25302","","3468441","","http://home.att.net/~stanthonyschool/stanthonyschool.html",""
"PUBLIC","Kanawha","Midland Trail Elementary School","200 Ferry St ","Diamond","25015","","9491823","9491016","http://mt.kana.k12.wv.us/","PK05"
"NON-PUBLIC","Kanawha","Mountaineer Montessori","308 20th Street ","Charleston","25304","","3427870","","http://www.mountaineermontessori.com",""
"PUBLIC","Kanawha","Dunbar Primary Center","2401 Myers Avenue ","Dunbar","25064","","7660367","7660368","http://dp.kana.k12.wv.us/","PK02"
"PUBLIC","Kanawha","South Charleston High School","1 Eagle Way ","South Charleston","25309","","7660352","7684663","http://kcs.kana.k12.wv.us/schs/","0912"
"PUBLIC","Kanawha","Anne Bailey Elementary School","405 Winfield Road ","St. Albans","25177","","7220230","7220231","http://ab.kana.k12.wv.us/","PK05"
"PUBLIC","Kanawha","Horace Mann Middle School","4300 Maccorkle Avenue ","Charleston","25304","","3481971","3486591","http://kcs.kana.k12.wv.us/horacemann/Teachers_6th.htm","0608"
"PUBLIC","Kanawha","Piedmont Year-Round Education","203 Bradford Street ","Charleston","25301","","3481910","3481911","http://kcs.kana.k12.wv.us/piedmont/","PK05"
